date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:43:27	73521/73521	---MCZ	200	added ('OK')	text/html	etag:%2257a910f5575845fd1a1b803fe662a7c9%22	https://livespot360.com/	C:/Users/aldor/OneDrive/Documentos/livespot360/livespot360/livespot360.com/index.html	(from )
12:43:27	173/173	---MC-	200	added ('OK')	text/plain	date:Fri,%2016%20May%202025%2011:43:27%20GMT	https://livespot360.com/robots.txt		(from )
12:43:27	9482/9482	---M--	200	added ('OK')	image/png	etag:%22250a-618547bb45800%22	https://livespot360.com/wp-content/themes/livespot/apple-touch-icon.png	C:/Users/aldor/OneDrive/Documentos/livespot360/livespot360/livespot360.com/wp-content/themes/livespot/apple-touch-icon.png	(from https://livespot360.com/)
12:43:27	2112/2112	---M--	200	added ('OK')	image/png	etag:%22840-618547bb45800%22	https://livespot360.com/wp-content/themes/livespot/favicon-32x32.png	C:/Users/aldor/OneDrive/Documentos/livespot360/livespot360/livespot360.com/wp-content/themes/livespot/favicon-32x32.png	(from https://livespot360.com/)
12:43:28	1167/1167	---M--	200	added ('OK')	image/png	etag:%2248f-618547bb45800%22	https://livespot360.com/wp-content/themes/livespot/favicon-16x16.png	C:/Users/aldor/OneDrive/Documentos/livespot360/livespot360/livespot360.com/wp-content/themes/livespot/favicon-16x16.png	(from https://livespot360.com/)
12:43:28	15086/15086	---M--	200	added ('OK')	image/x-icon	etag:%223aee-618547bb45800%22	https://livespot360.com/wp-content/themes/livespot/favicon.ico	C:/Users/aldor/OneDrive/Documentos/livespot360/livespot360/livespot360.com/wp-content/themes/livespot/favicon.ico	(from https://livespot360.com/)
12:43:28	426/426	---M--	200	added ('OK')	text/html	date:Mon,%2013%20May%202024%2011:49:52%20GMT	https://livespot360.com/wp-content/themes/livespot/site.webmanifest	C:/Users/aldor/OneDrive/Documentos/livespot360/livespot360/livespot360.com/wp-content/themes/livespot/site.html	(from https://livespot360.com/)
12:43:28	3672/3672	---M--	200	added ('OK')	image/svg+xml	etag:%22e58-618547bb45800%22	https://livespot360.com/wp-content/themes/livespot/safari-pinned-tab.svg	C:/Users/aldor/OneDrive/Documentos/livespot360/livespot360/livespot360.com/wp-content/themes/livespot/safari-pinned-tab.svg	(from https://livespot360.com/)
12:43:29	171345/171345	---M--	200	added ('OK')	image/png	etag:%2229d51-618547bb45800%22	https://livespot360.com/wp-content/themes/livespot/cover.png	C:/Users/aldor/OneDrive/Documentos/livespot360/livespot360/livespot360.com/wp-content/themes/livespot/cover.png	(from https://livespot360.com/)
12:43:29	148895/148895	---M--	200	added ('OK')	text/css	etag:%222459f-63422ab924edc%22	https://livespot360.com/wp-content/cache/autoptimize/css/autoptimize_single_5a8a50f9692d3f7dadc58e0cc1025a6e.css?ver=6.5.3	C:/Users/aldor/OneDrive/Documentos/livespot360/livespot360/livespot360.com/wp-content/cache/autoptimize/css/autoptimize_single_5a8a50f9692d3f7dadc58e0cc1025a6eef10.css	(from https://livespot360.com/)
12:43:29	6669/6669	---MC-	200	added ('OK')	application/json	date:Fri,%2016%20May%202025%2011:43:29%20GMT	https://livespot360.com/wp-json/wp/v2/pages/9	C:/Users/aldor/OneDrive/Documentos/livespot360/livespot360/livespot360.com/wp-json/wp/v2/pages/9.json	(from https://livespot360.com/)
12:43:30	211335/211335	---MC-	200	added ('OK')	application/json	date:Fri,%2016%20May%202025%2011:43:30%20GMT	https://livespot360.com/wp-json/	C:/Users/aldor/OneDrive/Documentos/livespot360/livespot360/livespot360.com/wp-json/index.html	(from https://livespot360.com/)
12:43:30	805/805	---MC-	200	added ('OK')	text/xml	date:Fri,%2016%20May%202025%2011:43:30%20GMT	https://livespot360.com/xmlrpc.php?rsd	C:/Users/aldor/OneDrive/Documentos/livespot360/livespot360/livespot360.com/xmlrpc0db0.php	(from https://livespot360.com/)
12:43:30	2344/2344	---MC-	200	added ('OK')	application/json	date:Fri,%2016%20May%202025%2011:43:31%20GMT	https://livespot360.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Flivespot360.com%2F	C:/Users/aldor/OneDrive/Documentos/livespot360/livespot360/livespot360.com/wp-json/oembed/1.0/embed014a.json	(from https://livespot360.com/)
12:43:31	2849/2849	---MC-	200	added ('OK')	text/xml	date:Fri,%2016%20May%202025%2011:43:31%20GMT	https://livespot360.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Flivespot360.com%2F&format=xml	C:/Users/aldor/OneDrive/Documentos/livespot360/livespot360/livespot360.com/wp-json/oembed/1.0/embed3914	(from https://livespot360.com/)
12:43:31	46666/46666	---M--	200	added ('OK')	image/jpeg	etag:%22b64a-618547bc39a40%22	https://livespot360.com/wp-content/uploads/2023/11/livespot-1-14.jpg	C:/Users/aldor/OneDrive/Documentos/livespot360/livespot360/livespot360.com/wp-content/uploads/2023/11/livespot-1-14.jpg	(from https://livespot360.com/)
12:43:31	18136/18136	---M--	200	added ('OK')	image/jpeg	etag:%2246d8-618547bc39a40%22	https://livespot360.com/wp-content/uploads/2023/11/livespot-2-9.jpg	C:/Users/aldor/OneDrive/Documentos/livespot360/livespot360/livespot360.com/wp-content/uploads/2023/11/livespot-2-9.jpg	(from https://livespot360.com/)
12:43:31	31720/31720	---M--	200	added ('OK')	image/jpeg	etag:%227be8-618547bc39a40%22	https://livespot360.com/wp-content/uploads/2023/11/livespot-3-5.jpg	C:/Users/aldor/OneDrive/Documentos/livespot360/livespot360/livespot360.com/wp-content/uploads/2023/11/livespot-3-5.jpg	(from https://livespot360.com/)
12:43:32	41015/41015	---M--	200	added ('OK')	image/jpeg	etag:%22a037-618547bc39a40%22	https://livespot360.com/wp-content/uploads/2023/11/livespot-4-5.jpg	C:/Users/aldor/OneDrive/Documentos/livespot360/livespot360/livespot360.com/wp-content/uploads/2023/11/livespot-4-5.jpg	(from https://livespot360.com/)
12:43:32	27299/27299	---M--	200	added ('OK')	image/jpeg	etag:%226aa3-618547bc39a40%22	https://livespot360.com/wp-content/uploads/2023/11/livespot-5-3.jpg	C:/Users/aldor/OneDrive/Documentos/livespot360/livespot360/livespot360.com/wp-content/uploads/2023/11/livespot-5-3.jpg	(from https://livespot360.com/)
12:43:32	33108/33108	---M--	200	added ('OK')	image/jpeg	etag:%228154-618547bc39a40%22	https://livespot360.com/wp-content/uploads/2023/11/livespot-6-1.jpg	C:/Users/aldor/OneDrive/Documentos/livespot360/livespot360/livespot360.com/wp-content/uploads/2023/11/livespot-6-1.jpg	(from https://livespot360.com/)
12:43:32	29672/29672	---M--	200	added ('OK')	image/jpeg	etag:%2273e8-618547bc39a40%22	https://livespot360.com/wp-content/uploads/2023/11/livespot-7-1.jpg	C:/Users/aldor/OneDrive/Documentos/livespot360/livespot360/livespot360.com/wp-content/uploads/2023/11/livespot-7-1.jpg	(from https://livespot360.com/)
